addr,value
addr:housenumber,88 к3 с3
addr:housenumber,40 с5
addr:housenumber,101 к2
addr:street,проезд Завода Серп и Молот
addr:housenumber,23 с1
addr:street,Саввинская набережная
addr:housenumber,12 с16
addr:housenumber,12 с15
addr:housenumber,20/3 с2
addr:housenumber,18/1 с1
addr:street,Балтийская улица
addr:housenumber,65 к3
addr:postcode,115583
addr:housenumber,107А к1
addr:postcode,127247
addr:housenumber,13/2
addr:street,Верхняя улица
addr:postcode,129164
addr:street,Маломосковская улица
addr:postcode,125284
addr:housenumber,29 к3
addr:housenumber,35 с2
addr:housenumber,107 к1
addr:postcode,119421
addr:street,1-й Хорошёвский проезд
addr:street,улица Алабяна
addr:street,Мясницкая улица
addr:street,Октябрьская улица
addr:housenumber,49 с2
addr:postcode,109391
addr:housenumber,165Е к12
addr:housenumber,165Е к14
addr:street,Сигнальный проезд
addr:housenumber,53
addr:street,шоссе Энтузиастов
addr:street,2-й Вражский переулок
addr:street,Бабаевская улица
addr:housenumber,57
addr:housenumber,4 к3
addr:street,улица Саломеи Нерис
addr:street,улица Неверовского
addr:street,улица Раевского
addr:postcode,121248
addr:street,набережная Тараса Шевченко
addr:housenumber,8 с5
addr:street,улица Генерала Ермолова
addr:housenumber,14 с8
addr:street,Киевская улица
addr:housenumber,3 к16
addr:housenumber2,3/14
addr:street,улица Барболина
addr:housenumber,79
addr:housenumber,23А
addr:street,Долгоруковская улица
addr:housenumber,38 с1
addr:postcode,111024
addr:postcode,111250
addr:street,проезд Невельского
addr:housenumber,6 к3
addr:street,Коробейников переулок
addr:housenumber,28Б с3
addr:postcode,141411
addr:street,Международное шоссе
addr:postcode,109518
addr:street,2-й Грайвороновский проезд
addr:housenumber,21 с7
addr:street,Локомотивный проезд
addr:street,Гостиничная улица
addr:street,Бобруйская улица
addr:street,Коломенская улица
addr:street,Средний Овчинниковский переулок
addr:street,улица Малая Ордынка
addr:housenumber,20/4
addr:housenumber,10 с9
addr:housenumber,27А/8 с1
addr:housenumber,47/7 с2
addr:housenumber,16А с4
addr:postcode,125171
addr:street,Ленинградское шоссе
addr:housenumber,16А с8
addr:housenumber,16Б
addr:postcode,11250
addr:street,Красноказарменная улица
addr:street,1-й Саратовский проезд
addr:housenumber,95
addr:housenumber,10А
addr:street,Гостиничный проезд
addr:street,улица Генерала Белобородова
addr:street,Подсосенский переулок
addr:housenumber,85 с2
addr:postcode,129075
addr:housenumber,85 с1
addr:housenumber,2А с3
addr:street,Веткина улица
addr:housenumber,9А с2
addr:housenumber,3 с14А
addr:housenumber,23 с5
addr:street,улица 1812 Года
addr:street,Кутузовский проезд
addr:housenumber,5А
addr:housenumber,44А с1
addr:street,проезд Добролюбова
addr:street,улица Добролюбова
addr:housenumber,1/2 с5
addr:housenumber,40 с4А
addr:housenumber,40-42
addr:housenumber,36 с3
addr:housenumber,36 к2
addr:housenumber,1/13/6 с2
addr:housenumber2,13/1/6 с2
addr:housenumber3,6/1/13 с2
addr:street,улица Покровка
addr:street2,Армянский переулок
addr:street3,Девяткин переулок
addr:street,улица Полины Осипенко
addr:housenumber,15А с1
addr:street,улица Циолковского
addr:housenumber,21 с1
addr:housenumber,21А с4
addr:postcode,119180
addr:street,улица Большая Якиманка
addr:housenumber,17/1
addr:housenumber2,1/17
addr:street,Петровский бульвар
addr:street2,3-й Колобовский переулок
addr:housenumber,14 с1А
addr:housenumber,19/11 с1
addr:street,улица Пречистенка
addr:housenumber,7/10 с7
addr:street,Старосадский переулок
addr:street,1-й Бабьегородский переулок
addr:street,улица Академика Королёва
addr:housenumber,21 с11
addr:street,улица Академика Комарова
addr:street,площадь Победы
addr:street,Грайвороновская улица
addr:street,Большая Марфинская улица
addr:street,Ботаническая улица
addr:street,Малая Ботаническая улица
addr:postcode,127276
addr:housenumber,1 к3 с1
addr:housenumber,73А с3
addr:street,Митинская улица
addr:housenumber,110А
addr:postcode,125459
addr:street,Туристская улица
addr:street,Новотушинский проезд
addr:postcode,125430
addr:housenumber,7 к6
addr:postcode,117216
addr:housenumber,29 с2
addr:postcode,109028
addr:street,Покровский бульвар
addr:housenumber,8 к12
addr:street,улица Вильгельма Пика
addr:postcode,107140
addr:housenumber,14 с7
addr:postcode,121059
addr:housenumber,57 к2
addr:street,улица Остоженка
addr:housenumber2,4А
addr:street,Строительный проезд
addr:housenumber,12/2 с1
addr:postcode,119034
addr:street,Староконюшенный переулок
addr:street,улица Большая Полянка
addr:housenumber,37 с3
addr:street,улица Ленинская Слобода
addr:housenumber,38
addr:housenumber,57 с3
addr:street,Дубининская улица
addr:housenumber,18-20
addr:street,Садовая-Триумфальная улица
addr:postcode,109202
addr:street,шоссе Фрезер
addr:housenumber,14 с5
addr:street,Душинская улица
addr:housenumber,5/6
addr:housenumber,60А с1
addr:street,"МКАД, 25-й километр"
addr:street,2-й Новый переулок
addr:housenumber,71
addr:housenumber,26 с6
addr:housenumber,26Г
addr:street,проспект Лихачёва
addr:street,Цветочный проезд
addr:housenumber,68 к3
addr:postcode,119072
addr:street,Берсеневская набережная
addr:housenumber,6 с3
addr:housenumber,6 с4
addr:housenumber,7 с4
addr:street,Болотная набережная
addr:street,Берсеневский переулок
addr:housenumber,11 с3
addr:housenumber,3/10 с7
addr:housenumber,14 с5А
addr:housenumber,3/10 с8
addr:housenumber,3/10 с2
addr:housenumber,5 с4
addr:housenumber,37/3
addr:housenumber,37/7
addr:postcode,115035
addr:street,Садовническая набережная
addr:housenumber,4/1
addr:street,Малая Очаковская улица
addr:street,Озёрная улица
addr:postcode,115172
addr:street,Котельническая набережная
addr:street,улица Мнёвники
addr:housenumber,44А
addr:housenumber,38 к3
addr:postcode,129343
addr:street,проезд Серебрякова
addr:street,Валовая улица
addr:postcode,108836
addr:street,1-я Нововатутинская улица
addr:subdistrict,поселение Десёновское
addr:street,Елоховский проезд
addr:postcode,115419
addr:street,2-й Донской проезд
addr:street,Старопетровский проезд
addr:housenumber,73 к1
addr:street,Большая Академическая улица
addr:postcode,119071
addr:housenumber,22-24
addr:housenumber,7с1
addr:postcode,119297
addr:street,улица Петра Непорожнего
addr:housenumber,9 с4
addr:housenumber,9 с3
addr:postcode,105062
addr:street,улица Чаплыгина
addr:street,Садовая-Черногрязская улица
addr:housenumber,141А к6
addr:street,3-й Автозаводский проезд
addr:street,1-я Ямская улица
addr:postcode,107076
addr:street,Краснобогатырская улица
addr:housenumber,20 с3
addr:housenumber,3А с1
addr:street,улица Левитана
addr:street,улица Орджоникидзе
addr:street,улица Сокольнический Вал
addr:housenumber,10Б
addr:postcode,125212
addr:street,Головинское шоссе
addr:street,Старый Петровско-Разумовский проезд
addr:postcode,129323
addr:street,Лазоревый проезд
addr:housenumber,17/20
addr:postcode,107045
addr:street,Большой Сергиевский переулок
addr:housenumber,21/24
addr:housenumber2,24/21
addr:street,Пушкарёв переулок
addr:street2,Большой Головин переулок
addr:street,Трубная улица
addr:housenumber,15 с2
addr:street,улица Верхняя Масловка
addr:postcode,127083
addr:housenumber,12А с4
addr:housenumber,12А с7
addr:housenumber,3/2
addr:street,Планетная улица
addr:housenumber,22Б с1
addr:street,улица Юннатов
addr:postcode,127081
addr:housenumber,27 к4
addr:street,Смоленская улица
addr:housenumber,1А к5
addr:postcode,107553
addr:street,Амурская улица
addr:housenumber,1А к3
addr:housenumber,1А к4
addr:housenumber,1А к2
addr:housenumber,80 к1
addr:street,Нижегородская улица
addr:street,улица Маршала Шапошникова
addr:postcode,107113
addr:street,Сокольническая площадь
addr:housenumber,71 к2
addr:postcode,125424
addr:housenumber,71 к1
addr:street,Маленковская улица
addr:housenumber,30-36 с2
addr:street,Поварская улица
addr:housenumber,30-36 с1
addr:street,Ангелов переулок
addr:street,Партийный переулок
addr:housenumber,1 к11
addr:postcode,115093
addr:housenumber,7А с4
addr:street,2-й Магистральный тупик
addr:housenumber,7А с3
addr:housenumber,7А с6
addr:housenumber,9 с6
addr:street,1-й Магистральный проезд
addr:housenumber,34 с2
addr:postcode,123290
addr:street,Шмитовский проезд
addr:housenumber,34 с3
addr:housenumber,34 с5
addr:housenumber,34 с13
addr:housenumber,34 с8
addr:housenumber,34 с7
addr:housenumber,34 с6
addr:housenumber,36/11
addr:street,Мукомольный проезд
addr:street,Одесская улица
addr:housenumber,36/11 с1
addr:street,Русаковская улица
addr:postcode,111673
addr:street,Суздальская улица
addr:street,Лодочная улица
addr:postcode,107014
addr:street,улица Жебрунова
addr:street,Башиловская улица
addr:housenumber,24 с20
addr:housenumber,24 с5
addr:housenumber,24 с18
addr:street,улица Стромынка
addr:postcode,125310
addr:housenumber,14А к4
addr:street,2-я Боевская улица
addr:street2,2-я Боевская улица
addr:street,Попов проезд
addr:street,Большая Новодмитровская улица
addr:housenumber,23 с2
addr:housenumber,63
addr:housenumber,64
addr:street,Новослободская улица
addr:housenumber,46 с3
addr:housenumber,46 с2
addr:housenumber,46 с1
addr:housenumber,47 с1
addr:housenumber,59
addr:housenumber,76 с4
addr:housenumber,59А
addr:housenumber,76 с1
addr:housenumber,23 с6
addr:housenumber,94А
addr:postcode,108801
addr:street,улица Александры Монаховой
addr:housenumber,57 с76
addr:housenumber,57 с11
addr:street,улица Пруд-Ключики
addr:street,Садовническая улица
addr:street,Родниковая улица
addr:housenumber,2/1 с1
addr:street,Новая Басманная улица
addr:housenumber,30 с2
addr:street,Басманный переулок
addr:postcode,108811
addr:street,Саларьевская улица
addr:subdistrict,поселение Московский
addr:street,Верхняя Красносельская улица
addr:housenumber,3-5 с1
addr:housenumber,7-9
addr:housenumber,38 к1
addr:street,Сельскохозяйственная улица
addr:housenumber,38 к2
addr:housenumber,11 с13
addr:postcode,129301
addr:street,улица Касаткина
addr:housenumber,48 с1
addr:district,Западное Дегунино
addr:housenumber,5с5
addr:street,Садовая-Каретная улица
addr:housenumber,44/2
addr:street,Звёздный бульвар
addr:housenumber,21 c1
addr:street,Мишина улица
addr:housenumber,22 с1
addr:postcode,125124
addr:housenumber,159А с1
addr:housenumber,9А с1
addr:housenumber,3/5
addr:housenumber,40 с1
addr:street,Большая Семёновская улица
addr:housenumber,40 с3
addr:street,Напрудный переулок
addr:street,Дегунинская улица
addr:street,Берёзовая аллея
addr:street,Олонецкая улица
addr:suburb,Жилой комплекс Green Park
addr:street,Абрамцевская улица
addr:street,1-я Квесисская улица
addr:housenumber,60 к1
addr:postcode,111123
addr:housenumber,44 с5
addr:street,Цимлянская улица
addr:street,Хибинский проезд
addr:postcode,129085
addr:street,улица Годовикова
addr:housenumber,3 с6
addr:housenumber,16 с17
addr:street,Огородный проезд
addr:full,"Москва, Огородный проезд, дом 20А, строение 2"
addr:housenumber,20А с2
addr:postcode,125464
addr:street,Братиславская улица
addr:housenumber,2 к8
addr:street,Скандинавский бульвар
addr:housenumber,18 с321
addr:street,Новозаводская улица
addr:street,Усачёва улица
addr:housenumber,11к1
addr:street,улица Анны Ахматовой
addr:housenumber,2 к3
addr:street,улица Картмазовские Пруды
addr:street,улица Академика Павлова
addr:housenumber,86 с6
addr:unit,7
addr:postcode,108802
addr:street,улица Малое Понизовье
addr:street,Производственная улица
addr:postcode,119633
addr:street,Чоботовская улица
addr:street,улица Пресненский Вал
addr:street,Новочеркасский бульвар
addr:postcode,108814
addr:street,бульвар Веласкеса
addr:housenumber,5Д с1
addr:postcode,111677
addr:street,Покровская улица
addr:street,улица Докукина
addr:housenumber,7/1
addr:postcode,125475
addr:street,улица Дыбенко
addr:housenumber,13А/16
addr:street,улица Врубеля
addr:housenumber,6 с12
addr:postcode,105118
addr:street,улица Буракова
addr:housenumber,25А с3
addr:street,проспект Будённого
addr:street,Измайловский проезд
addr:housenumber,29 с3
addr:street,2-я Хуторская улица
addr:housenumber,29 с4
addr:postcode,119435
addr:street,Большой Тишинский переулок
addr:housenumber,50
addr:postcode,125364
addr:housenumber,50 с3
addr:housenumber,1 с10
addr:housenumber,22А
addr:street,Большой Строченовский переулок
addr:street,3-й Новый переулок
addr:street,Нижняя Красносельская улица
addr:housenumber,5 с10
addr:housenumber,5 с12
addr:housenumber,26 к1
addr:street,Федоскинская улица
addr:street,Илимская улица
addr:housenumber,1 к7
addr:housenumber,1А к1
addr:housenumber,5 к5
addr:housenumber,5 к4
addr:housenumber,124А
addr:postcode,127495
addr:housenumber,1а
addr:street,Большая Пионерская улица
addr:street,Казарменный переулок
addr:housenumber,58Б
addr:street,проспект Андропова
addr:housenumber,80 к3
addr:housenumber,80 к2
addr:housenumber,84 к2
addr:housenumber,84 к1
addr:housenumber,84 к3
addr:housenumber,84 к4
addr:postcode,119192
addr:housenumber,14А к5
addr:housenumber,14А к2
addr:housenumber,2 к5
addr:housenumber,2 к7
addr:housenumber,44 к2
addr:housenumber,44 к1
addr:street,проезд Ольминского
addr:street,улица Усиевича
addr:housenumber,37/6
addr:housenumber,37/5
addr:housenumber,37/4
addr:housenumber,29 к4
addr:housenumber,29 к2
addr:housenumber,4 с7
addr:street,Абельмановская улица
addr:postcode,111675
addr:housenumber,44 к3
addr:street,Куликовская улица
addr:housenumber,вл41
addr:housenumber,вл12 к4
addr:street,3-я Нововатутинская улица
addr:street,Пенягинская улица
addr:street,улица Газопровод
addr:postcode,117461
addr:street,улица Каховка
addr:housenumber,19 к3
addr:housenumber,55А
addr:housenumber,19/38
addr:street,Беломорская улица
addr:street,Муравская улица
addr:housenumber,145 к2 с3
addr:housenumber,145 с1
addr:housenumber,7А к30
addr:housenumber,7 с5
addr:street,улица Казакова
addr:street,Нелидовская улица
addr:postcode,125206
addr:street,Дмитровский проезд
addr:housenumber,125Б
addr:street,Большая Черкизовская улица
addr:postcode,117556
addr:street,Артековская улица
addr:postcode,117452
addr:street,Симферопольский бульвар
addr:street,Черноморский бульвар
addr:housenumber,6 с2
addr:housenumber,100 с3
addr:postcode,125481
addr:street,улица Фомичёвой
addr:housenumber,к809А
addr:street,Пыжёвский переулок
addr:street,Пожарский переулок
addr:postcode,121471
addr:housenumber,30 к3
addr:postcode,117246
addr:street,Херсонская улица
addr:postcode,117393
addr:street,улица Гамалеи
addr:postcode,119261
addr:street,улица Панфёрова
addr:housenumber,48 с2
addr:housenumber,48 с3
addr:street,улица Цюрупы
addr:street,Базовская улица
addr:housenumber,88
addr:housenumber,16 к5
addr:postcode,119454
addr:street,улица Лобачевского
addr:housenumber,132
addr:housenumber,132 с1
addr:housenumber,8 с4
addr:housenumber,16 с6
addr:postcode,123100
addr:street,улица Сергея Макеева
addr:street,улица Эдварда Грига
addr:housenumber,2 к6
addr:housenumber,4Б
addr:street,1-й Котляковский переулок
addr:housenumber,23 к1
addr:postcode,117420
addr:street,улица Намёткина
addr:street,проспект Куприна
addr:housenumber,6/4 с1
addr:street,улица Костякова
addr:housenumber,9/28 с1
addr:housenumber,90 к3
addr:housenumber,90 к4
addr:housenumber,90 к2
addr:housenumber,90 к1
addr:housenumber,88 к3
addr:housenumber,88 к2
addr:housenumber,88 к1
addr:housenumber,92 к1
addr:housenumber,92 к2
addr:street,Украинский бульвар
addr:street,улица Немчинова
addr:street,Ивановская улица
addr:housenumber,94 к1
addr:housenumber,94 к2
addr:housenumber,92 к3
addr:housenumber,98 к1
addr:housenumber,96 к2
addr:housenumber,96А
addr:housenumber,98А
addr:housenumber,87 к5
addr:housenumber,89 к2
addr:housenumber,89 к1
addr:postcode,125504
addr:street,Пяловская улица
addr:street,Ильменский проезд
addr:postcode,109443
addr:housenumber,130
addr:street,Чечёрский проезд
addr:housenumber,134 к1
addr:street,Бачуринская улица
addr:housenumber,5А к2
addr:postcode,117624
addr:housenumber,5А к6
addr:postcode,107370
addr:street,Тюменский проезд
addr:housenumber,3 к7
addr:housenumber,3 к8
addr:housenumber,3 к4
addr:housenumber,3 к6
addr:street,улица Василия Ощепкова
addr:housenumber,3 с29
addr:street,Колодезный переулок
addr:housenumber,12А
addr:street,Нововатутинский проспект
addr:housenumber,16 к4
addr:street,Новоалексеевская улица
addr:street,5-я Нововатутинская улица
addr:housenumber,42 с4
addr:housenumber,124А с1
addr:street,бульвар Академика Ландау
addr:street,улица Кибальчича
addr:housenumber,16 с11
addr:postcode,109428
addr:street,2-й Вязовский проезд
addr:housenumber,16 с20
addr:housenumber,16 с10
addr:housenumber,12 с5
addr:housenumber,31 к2
addr:postcode,108823
addr:street,Рязановское шоссе
addr:street,Пермская улица
addr:street,набережная Марка Шагала
addr:street,бульвар Братьев Весниных
addr:street,улица Родченко
addr:housenumber,4 к5
addr:housenumber,4 к6
addr:street,улица Дубки
addr:housenumber,120 к1
addr:housenumber,16/15 с17
addr:street,Спартаковская площадь
addr:housenumber,16/15 с2
addr:street,улица Янковского
addr:housenumber,11Д
addr:housenumber,11Е
addr:housenumber,11Г
addr:street,улица Викторенко
addr:street,Большая Филёвская улица
addr:housenumber,3 c5
addr:flats,409-1127
addr:street,Багратионовский проезд
addr:postcode,127006
addr:street,Донская улица
addr:postcode,115114
addr:street,Павелецкая набережная
addr:housenumber,8Б
addr:street,3-й Павелецкий проезд
addr:housenumber,25 к3
addr:postcode,115201
addr:street,Каширский проезд
addr:housenumber,25 к4
addr:street,4-й Верхний Михайловский проезд
addr:street,Духовской переулок
addr:housenumber,1А/29 с1
addr:street,Старообрядческая улица
addr:housenumber,43 к5
addr:housenumber,32/3 к7
addr:housenumber,32/3 к6
addr:housenumber,32/3 к3
addr:housenumber,32/3 к4
addr:housenumber,32/3 к5
addr:postcode,115088
addr:street,1-я улица Машиностроения
addr:postcode,115142
addr:street,Корабельная улица
addr:housenumber,52 к1
addr:housenumber,30А к1
addr:street,улица Михайлова
addr:housenumber,30А к4
addr:housenumber,31А
addr:postcode,121108
addr:housenumber,33А
addr:postcode,121374
addr:street,улица Красных Зорь
addr:housenumber,10 к4
addr:street,улица Багрицкого
addr:street,Пересветов переулок
addr:street,проезд Досфлота
addr:street,Гжатская улица
addr:housenumber,5 к6
addr:housenumber,5 к8
addr:housenumber,5 к7
addr:housenumber,5 к10
addr:housenumber,71 с2
addr:housenumber,4 к1 с2
addr:housenumber,15А с14
addr:street,3-я Черепковская улица
addr:housenumber,15А с34
addr:housenumber,15А с15
addr:housenumber,15А с13
addr:housenumber,15А с40
addr:housenumber,15А с16
addr:housenumber,15А с9
addr:housenumber,15А с8
addr:housenumber,15А с2
addr:housenumber,15А с7
addr:housenumber,15А с6
addr:housenumber,15А с10
addr:housenumber,15А с5
addr:housenumber,15А с3
addr:housenumber,15А с4
addr:postcode,123154
addr:street,бульвар Генерала Карбышева
addr:postcode,125438
addr:street,4-й Лихачёвский переулок
addr:street,7-й Ростовский переулок
addr:street,Клинская улица
addr:place,Квартал №100
addr:postcode,121500
addr:housenumber,2 с5
addr:street,Новый Зыковский проезд
addr:housenumber,9 с11
addr:housenumber,3 к2 с4
addr:housenumber,54 с16
addr:street,Молодогвардейская улица
addr:housenumber,54 с43
addr:housenumber,54 с6
addr:street,1-й Котельнический переулок
addr:postcode,129345
addr:street,Тайнинская улица
addr:street,улица Шумкина
addr:housenumber,71 к4
addr:housenumber,71 к8
addr:housenumber,71 к5
addr:street,Просвирин переулок
addr:postcode,125565
addr:street,Пулковская улица
addr:postcode,125130
addr:street,1-й Пехотный переулок
addr:street,улица Берзарина
addr:housenumber,28А
addr:housenumber,28А к1
addr:postcode,127644
addr:housenumber,107 к3
addr:housenumber,107 к2
addr:housenumber,107 к4
addr:housenumber,107А к2
addr:housenumber,107А к5
addr:housenumber,107А к3
addr:housenumber,5А к7
addr:housenumber,5А к5
addr:housenumber,5А к4
addr:housenumber,5А к3
addr:postcode,129337
addr:street,улица Красная Сосна
addr:housenumber,27 к5
addr:postcode,107143
addr:street,Тагильская улица
addr:housenumber,4В
addr:street,улица Проспект Мира
addr:postcode,123557
addr:street,Средний Тишинский переулок
addr:street,Зубовская улица
addr:postcode,119021
addr:street,Софийская набережная
addr:housenumber,12/3
addr:housenumber2,3/12
addr:postcode,107031
addr:street,Серебрянический переулок
addr:street,Звенигородское шоссе
addr:housenumber,34 к1
addr:street,Шелепихинская набережная
addr:housenumber,34 к2
addr:unit,Здание 8
addr:postcode,115477
addr:street,улица Бехтерева
addr:housenumber,15 с5
addr:housenumber,39 к6
addr:street,улица Коминтерна
addr:postcode,125252
addr:street,улица Зорге
addr:street,Уваровский переулок
addr:housenumber,73Б
addr:street,Бакунинская улица
addr:postcode,105094
addr:street,улица Новая Дорога
addr:street,Большая Почтовая улица
addr:housenumber,30 с1
addr:postcode,111020
addr:street,Солдатский переулок
addr:housenumber,1 к4
addr:street,Золоторожский проезд
addr:postcode,109457
addr:housenumber,32 к3
addr:postcode,109451
addr:housenumber,32 к2
addr:housenumber,32 к1
addr:housenumber,74А
addr:postcode,115409
addr:housenumber,36А
addr:postcode,119330
addr:street,Ломоносовский проспект
addr:postcode,119285
addr:housenumber,1Б
addr:street,улица Довженко
addr:street,2-й переулок Петра Алексеева
addr:street,улица Маршала Сергеева
addr:street,улица Наташи Качуевской
addr:housenumber,95Б к2
addr:street,Лётная улица
addr:housenumber,69 к2
addr:postcode,125195
addr:postcode,127566
addr:street,Высоковольтный проезд
addr:housenumber,11 к8
addr:street,улица Римского-Корсакова
addr:housenumber,11 к7
addr:housenumber,11 к6
addr:housenumber,11 к3
addr:housenumber,11 к4
addr:housenumber,71А
addr:housenumber,19 к6
addr:postcode,105425
addr:street,Никитинская улица
addr:housenumber,78 к3
addr:housenumber,78 к2
addr:housenumber,76 к5
addr:housenumber,76 к2
addr:housenumber,72А к1
addr:housenumber,74/1
addr:housenumber,72А к2
addr:housenumber,23А к3
addr:street,Автозаводская улица
addr:housenumber,23Б к2
addr:housenumber,23 с120
addr:housenumber,18 к7
addr:housenumber,18 к3
addr:housenumber,18 к4
addr:housenumber,18 к6
addr:housenumber,18 к5
addr:housenumber,78А
addr:housenumber,23 с931
addr:housenumber,93
addr:place,квартал 27
addr:subdistrict,Жилой комплекс «Эдельвейс»
addr:postcode,108849
addr:street,улица Бориса Пастернака
addr:housenumber,62 с1 к4
addr:street,Старокалужское шоссе
addr:street,улица Самуила Маршака
addr:housenumber,62 с1 к9
addr:postcode,117630
addr:street,улица Лётчика Ульянина
addr:street,Домостроительная улица
addr:housenumber,2 к4
addr:postcode,108815
addr:street,Золотошвейная улица
addr:housenumber,52 с1
addr:postcode,115054
addr:street,Космодамианская набережная
addr:street,улица Яворки
addr:street,Астрадамская улица
addr:housenumber,11А
addr:housenumber,26к1
addr:street,улица Потаповская Роща
addr:postcode,108816
addr:street,улица Погодина
addr:housenumber,4 с5
addr:housenumber,86 с3
addr:housenumber,87 к4
addr:housenumber,87 к3
addr:housenumber,87 к2
addr:housenumber,109 к4
addr:postcode,109651
addr:street,Донецкая улица
addr:housenumber,30 к2
addr:housenumber,30 к1
addr:street,улица Гришина
addr:housenumber,2 с12
addr:street,Спартаковский переулок
addr:housenumber,13 с1
addr:housenumber,2 с11
addr:housenumber,45 с2
addr:postcode,117218
addr:housenumber,168
addr:housenumber,7 к3
addr:housenumber,141А к3
addr:housenumber,28/4 к3
addr:postcode,105187
addr:street,Вольная улица
addr:housenumber,28/4 к1
addr:street,1-й Грайвороновский проезд
addr:housenumber,65 к2
addr:housenumber,65 к1
addr:street,Ясеневая улица
addr:housenumber,10 с5
addr:street,1-й Волоколамский проезд
addr:housenumber,12 с4
addr:housenumber,34 с10
addr:housenumber,14 c2
addr:housenumber,182 к3 ст4
addr:housenumber,40 к5
addr:postcode,115162
addr:street,Мытная улица
addr:housenumber,40 к2
addr:housenumber,40 с6
addr:housenumber,40 к3
addr:housenumber,40 к4
addr:housenumber,2/1 к2
addr:unit,Д
addr:unit,Г
addr:unit,Б
addr:unit,А
addr:unit,Е
addr:housenumber,2/1 к4
addr:unit,П
addr:unit,Н
addr:housenumber,2/1 к3
addr:unit,Л
addr:housenumber,2/1 к5
addr:unit,У
addr:unit,Т
addr:unit,С
addr:unit,М
addr:unit,К
addr:street,1-я Аэропортовская улица
addr:unit,И
addr:unit,Р
addr:housenumber,3 с7
addr:postcode,115230
addr:street,Электролитный проезд
addr:housenumber,3 с87
addr:housenumber,3 с88
addr:street,Давыдовский переулок
addr:street,улица Паршина
addr:housenumber,23 с3
addr:street,3-я Хорошёвская улица
addr:housenumber,21 к6
addr:housenumber,21 к5
addr:street,Комсомольская площадь
addr:housenumber,8А с6
addr:housenumber,8А с4
addr:housenumber,2/7
addr:housenumber,8А с1
addr:housenumber,8А с2
addr:housenumber,8А с3
addr:street,Красноворотский проезд
addr:postcode,127282
addr:housenumber,19А
addr:housenumber,14А к1
addr:street,улица Уточкина
addr:housenumber,14А с3
addr:housenumber,14А к6
addr:street,4-й Вятский переулок
addr:housenumber,10Д с1
addr:housenumber,27 с9
addr:housenumber,27 с8
addr:housenumber,35 с3
addr:street,Открытое шоссе
addr:housenumber,86А к2
addr:housenumber,86А к1
addr:housenumber,86А к3
addr:street,проспект 40 лет Октября
addr:street,Совхозная улица
addr:housenumber,41 к2
addr:street,Зеленодольская улица
addr:street,улица Фёдора Полетаева
addr:housenumber,48/8 с5
addr:postcode,105275
addr:street,улица Уткина
addr:housenumber,16/11
addr:housenumber,74
addr:postcode,109544
addr:street,Большая Андроньевская улица
addr:street,улица Крузенштерна
addr:housenumber,5 с7
addr:housenumber,18 с17
addr:housenumber,18 с5
addr:street,1-й Басманный переулок
addr:street,1-й Новый переулок
addr:street,улица Недорубова
addr:street,улица Маресьева
addr:postcode,119602
addr:postcode,127254
addr:street,Нагатинская улица
addr:housenumber,5 к1 с3
addr:street,Звонарский переулок
addr:housenumber,21 к4
addr:postcode,105318
addr:street,Ткацкая улица
addr:housenumber,5 с16
addr:housenumber,24А с2
addr:postcode,127030
addr:street,Электрический переулок
addr:postcode,123001
addr:street,Мантулинская улица
addr:housenumber,9 к6
addr:housenumber,9 с5
addr:street,2-я Черногрязская улица
addr:housenumber,18 с2
addr:street,3-я Рыбинская улица
addr:housenumber,15Б
addr:housenumber,17 с3
addr:street,Токмаков переулок
addr:street,улица Мельникова
addr:postcode,123317
addr:street,Красногвардейский бульвар
addr:postcode,125412
addr:street,Коровинское шоссе
addr:postcode,107564
addr:street,1-я Мясниковская улица
addr:street,улица Лавриненко
addr:street,1-й Стрелецкий проезд
addr:housenumber,26А с4
addr:housenumber,2/10
addr:housenumber,1/12
addr:housenumber,17А к1
addr:housenumber,17А к3
addr:housenumber,17А к2
addr:housenumber,169Б
addr:postcode,127204
addr:housenumber,2В к4
addr:street,Минская улица
addr:housenumber,2В к3
addr:housenumber,2В к6
addr:housenumber,2В к5
addr:housenumber,2В к2
addr:housenumber,2В к1
addr:housenumber,8Б с2
addr:street,улица Фонвизина
addr:street,улица Улофа Пальме
addr:housenumber,4Д к3
addr:postcode,119530
addr:street,Аминьевское шоссе
addr:housenumber,4Д к2
addr:housenumber,4Д к1
addr:housenumber,159 с1
addr:housenumber,159 с2
addr:housenumber,37А с1
addr:street,улица Татьянин Парк
addr:housenumber,19 к1
addr:housenumber,25 c1
addr:street,улица Юлиана Семёнова
addr:street,улица Липовый парк
addr:street,Прокшинский проспект
addr:street,Расторгуевский переулок
addr:housenumber,21/8 с5
addr:housenumber,71/13 к1
addr:housenumber,71/22 к2
addr:housenumber,78 с5
addr:housenumber,78 с7
addr:housenumber,78
addr:postcode,129344
addr:street,Енисейская улица
addr:postcode,109240
addr:postcode,127576
addr:postcode,127411
addr:street,улица Софьи Ковалевской
addr:postcode,127322
addr:housenumber,14/11 с1
addr:street,Голиковский переулок
addr:housenumber,40-42 с1
addr:housenumber,18/10
addr:housenumber,6Б к2
addr:street,улица Адмирала Макарова
addr:housenumber,9/1
addr:street,Выборгская улица
addr:postcode,127106
addr:street,Нововладыкинский проезд
addr:housenumber,1A
addr:housenumber,141 к15
addr:housenumber,141 к14
addr:postcode,115304
